PLAYER,NATIONALITY,TYPE,BASE PRICE
Jass Inder Baidwan,Indian,All-Rounder,"20,00,000"
Rahul Buddhi,Indian,All-Rounder,"20,00,000"
Vaisakh  Chandran,Indian,All-Rounder,"20,00,000"
Writtick Chatterjee,Indian,All-Rounder,"20,00,000"
Raj Chaudhary,Indian,All-Rounder,"20,00,000"
Ravi Chauhan,Indian,All-Rounder,"20,00,000"
Ashwin Das,Indian,All-Rounder,"20,00,000"
Aarya Desai,Indian,All-Rounder,"20,00,000"
Vineet Dhankhar,Indian,All-Rounder,"20,00,000"
Harsh Dubey,Indian,All-Rounder,"20,00,000"
Prerit Dutta,Indian,All-Rounder,"20,00,000"
Jake Fraser-Mcgurk,Overseas,All-Rounder,"20,00,000"
Shubhang Hegde,Indian,All-Rounder,"20,00,000"
Saransh Jain,Indian,All-Rounder,"20,00,000"
Duan Jansen,Overseas,All-Rounder,"20,00,000"
Mohammad Kaif,Indian,All-Rounder,"20,00,000"
Aman Khan,Indian,All-Rounder,"20,00,000"
Mohd Arslan Khan,Indian,All-Rounder,"20,00,000"
Musheer  Khan,Indian,All-Rounder,"20,00,000"
Tanush Kotian,Indian,All-Rounder,"20,00,000"
Manvanth Kumar,Indian,All-Rounder,"20,00,000"
Saurabh Kumar,Indian,All-Rounder,"20,00,000"
Dev Lakra,Indian,All-Rounder,"20,00,000"
Nasir Lone,Indian,All-Rounder,"20,00,000"
Kaushik Maity,Indian,All-Rounder,"20,00,000"
Divij Mehra,Indian,All-Rounder,"20,00,000"
Mani Sankar Mura Singh,Indian,All-Rounder,"20,00,000"
Sanjay Pahal,Indian,All-Rounder,"20,00,000"
Jitender Pal,Indian,All-Rounder,"20,00,000"
Saumy Pandey,Indian,All-Rounder,"20,00,000"
Ansh Patel,Indian,All-Rounder,"20,00,000"
Sairaj Patil,Indian,All-Rounder,"20,00,000"
Pradosh Paul,Indian,All-Rounder,"20,00,000"
Shubham Singh Pundir,Indian,All-Rounder,"20,00,000"
Atal Rai,Indian,All-Rounder,"20,00,000"
Abhimanyusingh Rajput,Indian,All-Rounder,"20,00,000"
Mohit Rathee,Indian,All-Rounder,"20,00,000"
Ninad Rathva,Indian,All-Rounder,"20,00,000"
Rohit Rayudu,Indian,All-Rounder,"20,00,000"
Aniketh Reddy,Indian,All-Rounder,"20,00,000"
Mohit Redkar,Indian,All-Rounder,"20,00,000"
Akash Sengupta,Indian,All-Rounder,"20,00,000"
Suryansh  Shedge,Indian,All-Rounder,"20,00,000"
Aradhya Shukla,Indian,All-Rounder,"20,00,000"
Utkarsh Singh,Indian,All-Rounder,"20,00,000"
Shashank Singh,Indian,All-Rounder,"20,00,000"
Prenelan Subrayen,Overseas,All-Rounder,"20,00,000"
Ravi Teja,Indian,All-Rounder,"20,00,000"
Akash Vashisht,Indian,All-Rounder,"20,00,000"
Mohit Ahlawat,Indian,Wicket-Keeper,"20,00,000"
G. Ajitesh,Indian,Wicket-Keeper,"20,00,000"
L.R. Chethan,Indian,Wicket-Keeper,"20,00,000"
Gourav Choudhary,Indian,Wicket-Keeper,"20,00,000"
Harvik  Desai,Indian,Wicket-Keeper,"20,00,000"
Shakir Gandhi,Indian,Wicket-Keeper,"20,00,000"
Sumit Ghadigaonkar,Indian,Wicket-Keeper,"20,00,000"
Baba Indrajith,Indian,Wicket-Keeper,"20,00,000"
Bhagmender Lather,Indian,Wicket-Keeper,"20,00,000"
Anmol Malhotra,Indian,Wicket-Keeper,"20,00,000"
Darshan Misal,Indian,Wicket-Keeper,"20,00,000"
Nikhil Naik,Indian,Wicket-Keeper,"20,00,000"
Prasad Pawar,Indian,Wicket-Keeper,"20,00,000"
Mahesh Pithiya,Indian,Wicket-Keeper,"20,00,000"
William Salzmann,Overseas,Wicket-Keeper,"20,00,000"
Bipin  Saurabh,Indian,Wicket-Keeper,"20,00,000"
B.R. Sharath,Indian,Wicket-Keeper,"20,00,000"
K.L. Shrijith,Indian,Wicket-Keeper,"20,00,000"
Avneesh Sudha,Indian,Wicket-Keeper,"20,00,000"
Aditya Tare,Indian,Wicket-Keeper,"20,00,000"
Nihal Ullal,Indian,Wicket-Keeper,"20,00,000"
K.M Asif,Indian,Bowler,"20,00,000"
Mohit Avasthi,Indian,Bowler,"20,00,000"
Ottneil Baartman,Overseas,Bowler,"20,00,000"
Basit Bashir,Indian,Bowler,"20,00,000"
Waseem Bashir,Indian,Bowler,"20,00,000"
Sachin Bhosale,Indian,Bowler,"20,00,000"
Devendra Singh Bora,Indian,Bowler,"20,00,000"
Gurnoor Singh Brar,Indian,Bowler,"20,00,000"
Saurabh Dubey,Indian,Bowler,"20,00,000"
Mrinmoy Dutta,Indian,Bowler,"20,00,000"
Vishal Godara,Indian,Bowler,"20,00,000"
Money Grewal,Indian,Bowler,"20,00,000"
Arpit Guleria,Indian,Bowler,"20,00,000"
Mukhtar Hussain,Indian,Bowler,"20,00,000"
Shamar Joseph,Overseas,Bowler,"20,00,000"
Mohammed Kaif,Indian,Bowler,"20,00,000"
Shubham Kapse,Indian,Bowler,"20,00,000"
Devang Karamta,Indian,Bowler,"20,00,000"
Kulwant Khejroliya,Indian,Bowler,"20,00,000"
Ravi Kumar,Indian,Bowler,"20,00,000"
Ashwani Kumar,Indian,Bowler,"20,00,000"
Raj Limbani,Indian,Bowler,"20,00,000"
Kwena Maphaka,Overseas,Bowler,"20,00,000"
Lukman Hussain Meriwala,Indian,Bowler,"20,00,000"
Venkatesh Muralidhara,Indian,Bowler,"20,00,000"
William O'Rourke,Overseas,Bowler,"20,00,000"
Rakshan Readdi,Indian,Bowler,"20,00,000"
Manish Reddy,Indian,Bowler,"20,00,000"
Monish Reddy,Indian,Bowler,"20,00,000"
Akhin Sathar,Indian,Bowler,"20,00,000"
Divesh Sharma,Indian,Bowler,"20,00,000"
Ashok Sharma,Indian,Bowler,"20,00,000"
Abhilash Shetty,Indian,Bowler,"20,00,000"
Rahul Shukla,Indian,Bowler,"20,00,000"
Manit Singh,Indian,Bowler,"20,00,000"
Gurjapneet Singh,Indian,Bowler,"20,00,000"
Paul Van Meekeren,Overseas,Bowler,"20,00,000"
Nitin Verma,Indian,Bowler,"20,00,000"
Chris Wood,Overseas,Bowler,"20,00,000"
Gourav Yadav,Indian,Bowler,"20,00,000"
Prithvi Raj Yarra,Indian,Bowler,"20,00,000"
Mujtaba Yousuf,Indian,Bowler,"20,00,000"
Shubham Agrawal,Indian,Bowler,"20,00,000"
Mustaq Beg,Indian,Bowler,"20,00,000"
K.C Cariappa,Indian,Bowler,"20,00,000"
Ganesh Chaudhary,Indian,Bowler,"20,00,000"
Yuvraj Chudasama,Indian,Bowler,"20,00,000"
Jasmer  Dhankhar,Indian,Bowler,"20,00,000"
Chintal Gandhi,Indian,Bowler,"20,00,000"
Allah Ghazanfar,Overseas,Bowler,"20,00,000"
Raghav Goyal,Indian,Bowler,"20,00,000"
Shreyas Gurav,Indian,Bowler,"20,00,000"
Vishu Kashyap,Indian,Bowler,"20,00,000"
Bhuwan Rohilla,Indian,Bowler,"20,00,000"
Shivam  Sharma,Indian,Bowler,"20,00,000"
Digvesh Singh,Indian,Bowler,"20,00,000"
Jagadeesha Suchith,Indian,Bowler,"20,00,000"
B. Surya,Indian,Bowler,"20,00,000"
Pankaj Yadav,Indian,Bowler,"20,00,000"
Sahil Dhiwan,Indian,All-Rounder,"20,00,000"
Kaushal Tambe,Indian,All-Rounder,"20,00,000"
